route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,route_direction,trip_note,bikes_allowed
"1-10T-3-sj2-1","tw3+1","210.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","210.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","210.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","211.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","211.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","211.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","212.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","212.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","212.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","213.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","213.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","213.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","214.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","214.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","214.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","215.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","215.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","215.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","216.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","216.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","216.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","217.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","217.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","217.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","218.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","218.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","218.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","219.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","219.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","219.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","22.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","22.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","22.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","220.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","220.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","220.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","221.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","221.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","221.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","222.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","222.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","222.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","223.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","223.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","223.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","224.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","224.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","224.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","225.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","225.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","225.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","226.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","226.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","226.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","227.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","227.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","227.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","228.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","228.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","228.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","229.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","229.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","229.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","23.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","23.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","23.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","230.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","230.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","230.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","231.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","231.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","231.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw3+1","232.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","232.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","232.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","tw1",""
"1-10T-3-sj2-1","tw3+1","233.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","233.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","233.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","tw1",""
"1-10T-3-sj2-1","tw3+1","234.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","234.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","234.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","tw1",""
"1-10T-3-sj2-1","tw3+1","235.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","235.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw5+1","235.tw5.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","tw1",""
"1-10T-3-sj2-1","tw3+1","236.tw3.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
"1-10T-3-sj2-1","tw4+1","236.tw4.1-10T-3-sj2-1.1.H","1-10T-3-sj2-1.1.H","Bankstown","0","","2","Sydenham, then all stations to Bankstown","",""
