route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,route_direction,trip_note,bikes_allowed
"1-10T-3-sj2-1","tw4+1","109.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","109.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","11.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","11.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","11.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","110.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","110.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","110.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","111.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","111.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","111.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","112.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","112.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","112.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","113.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","113.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","113.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","114.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","114.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","114.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","115.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","115.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","115.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","116.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw4+1","116.tw4.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw5+1","116.tw5.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
"1-10T-3-sj2-1","tw3+1","117.tw3.1-10T-3-sj2-1.2.R","1-10T-3-sj2-1.2.R","Sydenham","1","","2","Bankstown, then all stations to Sydenham","",""
